HIP1,HIP2,CON
# Andromeda
677,5447,And
5447,9640,And
# Aquarius
109074,106278,Aqr
106278,106786,Aqr
106786,110960,Aqr
110960,112961,Aqr
112961,113963,Aqr
# Aquila
97649,97278,Aql
97649,98036,Aql
97649,93747,Aql
# Aries
9884,8903,Ari
8903,8832,Ari
# Auriga
24608,28360,Aur
28360,28380,Aur
28380,23453,Aur
23453,23015,Aur
23015,24608,Aur
# Bootes
69673,67927,Boo
69673,72105,Boo
67927,71075,Boo
71075,73555,Boo
73555,74666,Boo
74666,72105,Boo
# Canis Major
32349,30324,CMa
32349,33579,CMa
33579,34444,CMa
32349,33856,CMa
33856,35904,CMa
# Canis Minor
37279,36188,CMi
# Capricornus
100027,102978,Cap
102978,104139,Cap
104139,106985,Cap
106985,107556,Cap
107556,100027,Cap
# Cassiopeia
746,3179,Cas
3179,4427,Cas
4427,6686,Cas
6686,8886,Cas
# Centaurus
71683,68702,Cen
68702,61932,Cen
61932,66657,Cen
66657,71352,Cen
# Cepheus
105199,106032,Cep
106032,109492,Cep
109492,109857,Cep
105199,102422,Cep
# Cetus
14135,12390,Cet
12390,12093,Cet
12093,12706,Cet
14135,3419,Cet
# Corona Borealis
76267,75695,CrB
76267,76952,CrB
76267,77512,CrB
77512,78159,CrB
75695,74732,CrB
# Corvus
59803,60965,Crv
60965,61359,Crv
61359,59316,Crv
59316,59803,Crv
# Cygnus
102098,100453,Cyg
100453,98110,Cyg
100453,97165,Cyg
97165,95947,Cyg
100453,102488,Cyg
# Draco
87833,85670,Dra
85670,83895,Dra
83895,80331,Dra
80331,75458,Dra
75458,68756,Dra
87833,89937,Dra
89937,94376,Dra
94376,97433,Dra
87833,78527,Dra
78527,75458,Dra
# Eridanus
7588,13847,Eri
13847,18543,Eri
18543,21444,Eri
# Gemini
36850,37826,Gem
36850,34693,Gem
37826,35550,Gem
34693,34088,Gem
35550,32246,Gem
34088,30343,Gem
30343,29655,Gem
# Hercules
84345,80816,Her
80816,81693,Her
81693,81833,Her
80816,84379,Her
84379,84380,Her
81833,83207,Her
84379,81833,Her
# Hydra
43109,46390,Hya
46390,52943,Hya
52943,64962,Hya
# Leo
49669,50583,Leo
50583,50335,Leo
50335,49583,Leo
49583,47908,Leo
49669,54872,Leo
54872,57632,Leo
54872,54879,Leo
54879,50583,Leo
# Lepus
25985,25606,Lep
25606,23685,Lep
23685,24305,Lep
# Libra
72622,74785,Lib
74785,76333,Lib
76333,76600,Lib
# Lyra
91262,92420,Lyr
92420,93194,Lyr
92420,92791,Lyr
92791,91971,Lyr
# Ophiuchus
86032,86742,Oph
86742,84012,Oph
84012,81377,Oph
81377,79593,Oph
79593,79882,Oph
79882,83000,Oph
83000,84970,Oph
# Orion
27989,25336,Ori
25336,23419,Ori
23419,26311,Ori
26311,26727,Ori
26727,27366,Ori
24436,27366,Ori
27989,26207,Ori
26207,26727,Ori
17499,17608,Ori
17608,17702,Ori
17702,17851,Ori
17851,18246,Ori
18246,18614,Ori
# Pegasus
677,113881,Peg
113881,113963,Peg
113963,1067,Peg
113963,112158,Peg
112158,112029,Peg
107315,112158,Peg
# Perseus
15863,14576,Per
15863,17358,Per
17358,18532,Per
18532,18246,Per
15863,13268,Per
15863,14328,Per
14328,14354,Per
14354,14576,Per
# Pisces
7097,9487,Psc
9487,115830,Psc
115830,114971,Psc
114971,116771,Psc
# Sagittarius
90185,89931,Sgr
89931,90496,Sgr
89931,88635,Sgr
88635,89642,Sgr
90185,92855,Sgr
92855,93506,Sgr
93506,92041,Sgr
92041,94141,Sgr
# Scorpius
78265,78401,Sco
78401,80112,Sco
80112,80763,Sco
80763,82396,Sco
82396,82514,Sco
82514,82545,Sco
82545,82729,Sco
82729,84143,Sco
84143,86228,Sco
86228,85927,Sco
86228,86670,Sco
78820,78265,Sco
# Taurus
21421,25428,Tau
21421,20894,Tau
20894,20889,Tau
21421,26451,Tau
26451,25428,Tau
17702,18724,Tau
18724,21421,Tau
18724,18907,Tau
# Ursa Major
54061,53910,UMa
53910,58001,UMa
58001,59774,UMa
59774,62956,UMa
62956,65378,UMa
65378,67301,UMa
59774,54061,UMa
47908,46853,UMa
46853,44471,UMa
44471,41704,UMa
# Ursa Minor
11767,82080,UMi
82080,77055,UMi
77055,79822,UMi
79822,72607,UMi
72607,75097,UMi
75097,85822,UMi
# Virgo
65474,63090,Vir
63090,61941,Vir
61941,63608,Vir
63608,60129,Vir
60129,57757,Vir
63608,66249,Vir
66249,69427,Vir
