RA,DEC,DIST,MAG,TYPE,NAME,SIZE
101.287215,-16.716116,2.6371,-1.44,star A0m...,"Sirius ;HIP 32349 ;HD  48915 ;HR  2491 ;GL  Gl 244A ;BF  9Alp CMa ;",0
95.987925,-52.69566,94.7867,-0.62,star F0Ib,"Canopus ;HIP 30438 ;HD  45348 ;HR  2326 ;BF  Alp Car ;",0
213.91545,19.18241,11.2575,-0.05,star K2IIIp,"Arcturus ;HIP 69673 ;HD  124897 ;HR  5340 ;GL  Gl 541 ;BF  16Alp Boo ;",0
219.911475,-60.833976,1.3248,-0.01,star G2V,"Rigil Kentaurus ;HIP 71683 ;HD  128620 ;HR  5459 ;GL  Gl 559A ;BF  Alp1Cen ;",0
279.2346,38.783692,7.6787,0.03,star A0Vvar,"Vega ;HIP 91262 ;HD  172167 ;HR  7001 ;GL  Gl 721 ;BF  3Alp Lyr ;",0
79.17225,45.997991,13.1234,0.08,star M1: comp,"Capella ;HIP 24608 ;HD  34029 ;HR  1708 ;GL  Gl 194A ;BF  13Alp Aur ;",0
78.63447,-8.20164,264.5503,0.18,star B8Ia,"Rigel ;HIP 24436 ;HD  34085 ;HR  1713 ;BF  19Bet Ori ;",0
114.825495,5.224993,3.5142,0.4,star F5IV-V,"Procyon ;HIP 37279 ;HD  61421 ;HR  2943 ;GL  Gl 280A ;BF  10Alp CMi ;",0
24.42834,-57.236757,42.7533,0.45,star B3Vp,"Achernar ;HIP 7588 ;HD  10144 ;HR  472 ;BF  Alp Eri ;",0
88.792935,7.407063,152.6718,0.45,star M2Ib,"Betelgeuse ;HIP 27989 ;HD  39801 ;HR  2061 ;BF  58Alp Ori ;",0
210.955935,-60.373039,120.1923,0.61,star B1III,"Hadar ;HIP 68702 ;HD  122451 ;HR  5267 ;BF  Bet Cen ;",0
297.69582,8.868322,5.1295,0.76,star A7IV-V,"Altair ;HIP 97649 ;HD  187642 ;HR  7557 ;GL  Gl 768 ;BF  53Alp Aql ;",0
186.649665,-63.099092,98.7167,0.77,star B0.5IV,"Acrux ;HIP 60718 ;HD  108248 ;HR  4730 ;BF  Alp1Cru ;",0
68.980155,16.509301,20.4332,0.87,star K5III,"Aldebaran ;HIP 21421 ;HD  29139 ;HR  1457 ;GL  Gl 171.1A ;BF  87Alp Tau ;",0
79.16889,46.000842,12.9383,0.96,star G0 III,"GL  Gl 194B ;",0
201.298245,-11.161322,76.5697,0.98,star B1V,"Spica ;HIP 65474 ;HD  116658 ;HR  5056 ;BF  67Alp Vir ;",0
247.35192,-26.432002,169.7793,1.06,star M1Ib + B2.5V,"Antares ;HIP 80763 ;HD  148478 ;HR  6134 ;BF  21Alp Sco ;",0
116.329155,28.026199,10.3584,1.16,star K0IIIvar,"Pollux ;HIP 37826 ;HD  62509 ;HR  2990 ;GL  Gl 286 ;BF  78Bet Gem ;",0
344.41257,-29.622236,7.7036,1.17,star A3V,"Fomalhaut ;HIP 113368 ;HD  216956 ;HR  8728 ;GL  Gl 881 ;BF  24Alp PsA ;",0
191.930385,-59.688764,85.3971,1.25,star B0.5III,"Becrux ;HIP 62434 ;HD  111123 ;HR  4853 ;BF  Bet Cru ;",0
310.35798,45.280338,432.9004,1.25,star A2Ia,"Deneb ;HIP 102098 ;HD  197345 ;HR  7924 ;BF  50Alp Cyg ;",0
219.90519,-60.8383,1.3248,1.35,star K1V,"HIP 71681 ;HD  128621 ;HR  5460 ;GL  Gl 559B ;BF  Alp2Cen ;",0
152.09298,11.967207,24.3132,1.36,star B7V,"Regulus ;HIP 49669 ;HD  87901 ;HR  3982 ;BF  32Alp Leo ;",0
104.656455,-28.972084,124.2236,1.5,star B2II,"Adhara ;HIP 33579 ;HD  52089 ;HR  2618 ;BF  21Eps CMa ;",0
113.64951,31.888276,15.5958,1.58,star A2Vm,"Castor ;HIP 36850 ;HD  60179 ;HR  2891 ;GL  Gl 278A ;BF  66Alp Gem ;",0
187.791435,-57.113212,27.1518,1.59,star M4III,"Gacrux ;HIP 61084 ;HD  108903 ;HR  4763 ;BF  Gam Cru ;",0
263.402175,-37.103821,175.1313,1.62,star B1.5IV+...,"Shaula ;HIP 85927 ;HD  158926 ;HR  6527 ;BF  35Lam Sco ;",0
81.282765,6.349702,77.3994,1.64,star B2III,"Bellatrix ;HIP 25336 ;HD  35468 ;HR  1790 ;BF  24Gam Ori ;",0
81.57297,28.60745,41.0509,1.65,star B7III,"Alnath ;HIP 25428 ;HD  35497 ;HR  1791 ;BF  112Bet Tau ;",0
138.300615,-69.717208,34.6981,1.67,star A2IV,"Miaplacidus ;HIP 45238 ;HD  80007 ;HR  3685 ;BF  Bet Car ;",0
84.053385,-1.20192,606.0606,1.69,star B0Ia,"Alnilam ;HIP 26311 ;HD  37128 ;HR  1903 ;BF  46Eps Ori ;",0
332.058135,-46.960975,30.9693,1.73,star B7IV,"Alnair ;HIP 109268 ;HD  209952 ;HR  8425 ;GL  Gl 848.2 ;BF  Alp Gru ;",0
85.189695,-1.942572,225.7336,1.74,star O9.5Ib SB,"Alnitak ;HIP 26727 ;HD  37742 ;HR  1948 ;BF  50Zet Ori ;",0
122.38314,-47.336588,342.4658,1.75,star WC8 + O9I,"HIP 39953 ;HD  68273 ;HR  3207 ;BF  Gam2Vel ;",0
193.50708,55.959821,25.31,1.76,star A0p,"Alioth ;HIP 62956 ;HD  112185 ;HR  4905 ;BF  77Eps UMa ;",0
51.08067,49.86118,155.2795,1.79,star F5Ib,"Mirphak ;HIP 15863 ;HD  20902 ;HR  1017 ;BF  33Alp Per ;",0
276.04302,-34.384616,43.9367,1.79,star B9.5III,"Kaus Australis ;HIP 90185 ;HD  169022 ;HR  6879 ;BF  20Eps Sgr ;",0
165.932325,61.751033,37.679,1.81,star F7V comp,"Dubhe ;HIP 54061 ;HD  95689 ;HR  4301 ;BF  50Alp UMa ;",0
107.097855,-26.3932,492.6108,1.83,star F8Ia,"Wezen ;HIP 34444 ;HD  54605 ;HR  2693 ;BF  25Del CMa ;",0
206.88531,49.313265,31.8674,1.85,star B3V SB,"Alkaid ;HIP 67301 ;HD  120315 ;HR  5191 ;BF  85Eta UMa ;",0
125.62854,-59.509483,185.5288,1.86,star K3III+B2V,"Avior ;HIP 41037 ;HD  71129 ;HR  3307 ;BF  Eps Car ;",0
264.3297,-42.997824,92.081,1.86,star F1II,"Sargas ;HIP 86228 ;HD  159532 ;HR  6553 ;BF  The Sco ;",0
89.882235,44.947433,24.8694,1.9,star A2V,"Menkalinan ;HIP 28360 ;HD  40183 ;HR  2088 ;GL  NN 3375 ;BF  34Bet Aur ;",0
252.166155,-69.027715,119.7605,1.91,star K2IIb-IIIa,"Atria ;HIP 82273 ;HD  150798 ;HR  6217 ;BF  Alp TrA ;",0
99.42792,16.399252,33.5121,1.93,star A0IV,"Alhena ;HIP 31681 ;HD  47105 ;HR  2421 ;BF  24Gam Gem ;",0
131.175885,-54.708821,24.6975,1.93,star A1V,"HIP 42913 ;HD  74956 ;HR  3485 ;GL  Gl 321.3A ;BF  Del Vel ;",0
306.411885,-56.73509,54.8246,1.94,star B2IV,"Peacock ;HIP 100751 ;HD  193924 ;HR  7790 ;BF  Alp Pav ;",0
37.94625,89.264109,132.626,1.97,star F7:Ib-IIv SB,"Polaris ;HIP 11767 ;HD  8890 ;HR  424 ;BF  1Alp UMi ;",0
95.674935,-17.955918,151.0574,1.98,star B1II/III,"Mirzam ;HIP 30324 ;HD  44743 ;HR  2294 ;BF  2Bet CMa ;",0
141.89685,-8.658603,55.2792,1.99,star K3III,"Alphard ;HIP 46390 ;HD  81797 ;HR  3748 ;BF  30Alp Hya ;",0
31.793325,23.462423,20.1776,2.01,star K2III,"Hamal ;HIP 9884 ;HD  12929 ;HR  617 ;GL  Gl 84.3 ;BF  13Alp Ari ;",0
154.993095,19.841489,39.8883,2.01,star K0III,"Algieba ;HIP 50583 ;HD  89484 ;HR  4057 ;BF  41Gam1Leo ;",0
10.89735,-17.986605,29.5334,2.04,star K0III,"Diphda ;HIP 3419 ;HD  4128 ;HR  188 ;GL  Gl 31 ;BF  16Bet Cet ;",0
283.81635,-26.296722,69.8324,2.05,star B2.5V,"Nunki ;HIP 92855 ;HD  175191 ;HR  7121 ;BF  34Sig Sgr ;",0
211.670925,-36.369954,18.0343,2.06,star K0IIIb,"Menkent ;HIP 68933 ;HD  123139 ;HR  5288 ;GL  Gl 539 ;BF  5The Cen ;",0
2.096865,29.090432,29.7442,2.07,star B9p,"Alpheratz ;HIP 677 ;HD  358 ;HR  15 ;BF  21Alp And ;",0
17.43291,35.620558,60.5327,2.07,star M0IIIvar,"Mirach ;HIP 5447 ;HD  6860 ;HR  337 ;GL  Gl 53.3 ;BF  43Bet And ;",0
86.939115,-9.669605,198.4127,2.07,star B0.5Iavar,"Saiph ;HIP 27366 ;HD  38771 ;HR  2004 ;BF  53Kap Ori ;",0
